Season,Round,TrackType,Circuit,Weather,Rainfall,Driver,Team,GridPosition,FinishingPosition,Q1,Q2,Q3,MeanDeltaQ1,MeanDeltaQ2,MeanDeltaQ3
2018,1,High-Street,Melbourne,24.077477477477483,0,VET,Ferrari,3,1,83.348,81.944,81.838,-0.6392,-1.245533333,-0.661555556
2018,1,High-Street,Melbourne,24.077477477477483,0,HAM,Mercedes,1,2,82.824,82.051,81.164,-1.1632,-1.138533333,-1.335555556
2018,1,High-Street,Melbourne,24.077477477477483,0,RAI,Ferrari,2,3,83.096,82.507,81.828,-0.8912,-0.682533333,-0.671555556
2018,1,High-Street,Melbourne,24.077477477477483,0,RIC,Red Bull Racing,8,4,83.494,82.89699999999999,82.152,-0.4932,-0.292533333,-0.347555556
2018,1,High-Street,Melbourne,24.077477477477483,0,ALO,McLaren,10,5,83.59700000000001,83.69200000000001,1000,-0.3902,0.5024666666666633,917.5004444444444
2018,1,High-Street,Melbourne,24.077477477477483,0,VER,Red Bull Racing,4,6,83.483,82.416,81.879,-0.5042,-0.773533333,-0.620555556
2018,1,High-Street,Melbourne,24.077477477477483,0,HUL,Renault,7,7,83.782,83.544,83.532,-0.2052,0.35446666666665294,1.0324444444444367
2018,1,High-Street,Melbourne,24.077477477477483,0,BOT,Mercedes,15,8,83.686,82.089,1000,-0.3012,-1.100533333,917.5004444444444
2018,1,High-Street,Melbourne,24.077477477477483,0,VAN,McLaren,11,9,84.07300000000001,83.85300000000001,1000,0.0858000000000061,0.6634666666666647,917.5004444444444
2018,1,High-Street,Melbourne,24.077477477477483,0,SAI,Renault,9,10,83.529,83.061,83.577,-0.4582,-0.128533333,1.0774444444444384
2018,1,High-Street,Melbourne,24.077477477477483,0,PER,Force India,12,11,84.344,84.005,1000,0.3567999999999927,0.8154666666666515,917.5004444444444
2018,1,High-Street,Melbourne,24.077477477477483,0,OCO,Force India,14,12,84.503,84.786,1000,0.5157999999999987,1.5964666666666574,917.5004444444444
2018,1,High-Street,Melbourne,24.077477477477483,0,LEC,Sauber,18,13,84.636,1000,1000,0.6487999999999943,916.8104666666667,917.5004444444444
2018,1,High-Street,Melbourne,24.077477477477483,0,STR,Williams,13,14,84.464,84.23,1000,0.4767999999999972,1.04046666666666,917.5004444444444
2018,1,High-Street,Melbourne,24.077477477477483,0,HAR,Toro Rosso,16,15,84.532,1000,1000,0.5447999999999951,916.8104666666667,917.5004444444444
2018,1,High-Street,Melbourne,24.077477477477483,0,GRO,Haas F1 Team,6,16,83.67099999999999,83.468,83.339,-0.3162,0.27846666666665953,0.8394444444444389
2018,1,High-Street,Melbourne,24.077477477477483,0,MAG,Haas F1 Team,5,17,83.90899999999999,83.3,83.187,-0.0782,0.11046666666665317,0.6874444444444379
2018,1,High-Street,Melbourne,24.077477477477483,0,GAS,Toro Rosso,20,18,85.295,1000,1000,1.3078000000000003,916.8104666666667,917.5004444444444
2018,1,High-Street,Melbourne,24.077477477477483,0,ERI,Sauber,17,19,84.556,1000,1000,0.568799999999996,916.8104666666667,917.5004444444444
2018,1,High-Street,Melbourne,24.077477477477483,0,SIR,Williams,19,20,84.922,1000,1000,0.9347999999999956,916.8104666666667,917.5004444444444
2018,2,Mid-Circuit,Sakhir,27.982524271844653,0,VET,Ferrari,1,1,89.06,88.34100000000001,87.958,-1.10915,-1.125071429,-0.9338
2018,2,Mid-Circuit,Sakhir,27.982524271844653,0,BOT,Mercedes,3,2,89.275,88.794,88.124,-0.89415,-0.672071429,-0.7678
2018,2,Mid-Circuit,Sakhir,27.982524271844653,0,HAM,Mercedes,9,3,89.396,88.458,88.22,-0.77315,-1.008071429,-0.6718
2018,2,Mid-Circuit,Sakhir,27.982524271844653,0,GAS,Toro Rosso,5,4,90.121,89.836,89.32900000000001,-0.04815,0.3699285714285594,0.43720000000000425
2018,2,Mid-Circuit,Sakhir,27.982524271844653,0,MAG,Haas F1 Team,6,5,89.594,89.623,89.358,-0.57515,0.15692857142856553,0.4662000000000006
