Season,Round,TrackType,Circuit,Weather,Rainfall,Driver,Team,GridPosition,FinishingPosition,Q1,Q2,Q3
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,LEC,Ferrari,1,1,91.471,90.932,90.558
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,SAI,Ferrari,3,2,91.567,90.787,90.687
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,HAM,Mercedes,5,3,92.285,91.048,91.238
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,RUS,Mercedes,9,4,92.269,91.252,92.216
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,MAG,Haas F1 Team,7,5,91.955,91.461,91.808
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,BOT,Alfa Romeo,6,6,91.919,91.717,91.56
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,OCO,Alpine,11,7,92.041,91.782,1000
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,TSU,AlphaTauri,16,8,92.75,1000,1000
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,ALO,Alpine,8,9,92.346,91.621,92.195
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,ZHO,Alfa Romeo,15,10,92.493,93.543,1000
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,MSC,Haas F1 Team,12,11,92.38,91.998,1000
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,STR,Aston Martin,19,12,93.032,1000,1000
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,ALB,Williams,14,13,92.726,92.664,1000
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,RIC,McLaren,18,14,92.945,1000,1000
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,NOR,McLaren,13,15,92.239,92.008,1000
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,LAT,Williams,20,16,93.634,1000,1000
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,HUL,Aston Martin,17,17,92.777,1000,1000
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,PER,Red Bull Racing,4,18,92.311,91.008,90.921
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,VER,Red Bull Racing,2,19,91.785,90.757,90.681
2022,1,Mid-Circuit,Sakhir,23.617791411042944,0,GAS,AlphaTauri,10,20,92.096,91.635,92.338
2022,2,High-Street,Jeddah,25.42039473684211,0,VER,Red Bull Racing,4,1,88.928,88.945,88.461
2022,2,High-Street,Jeddah,25.42039473684211,0,LEC,Ferrari,2,2,89.039,88.78,88.225
2022,2,High-Street,Jeddah,25.42039473684211,0,SAI,Ferrari,3,3,88.855,88.686,88.402
2022,2,High-Street,Jeddah,25.42039473684211,0,PER,Red Bull Racing,1,4,89.705,88.924,88.2
2022,2,High-Street,Jeddah,25.42039473684211,0,RUS,Mercedes,6,5,89.68,89.618,89.104
2022,2,High-Street,Jeddah,25.42039473684211,0,OCO,Alpine,5,6,90.093,89.584,89.068
2022,2,High-Street,Jeddah,25.42039473684211,0,NOR,McLaren,11,7,89.957,89.651,1000
2022,2,High-Street,Jeddah,25.42039473684211,0,GAS,AlphaTauri,9,8,89.89099999999999,89.418,89.254
2022,2,High-Street,Jeddah,25.42039473684211,0,MAG,Haas F1 Team,10,9,89.831,89.54599999999999,89.588
2022,2,High-Street,Jeddah,25.42039473684211,0,HAM,Mercedes,15,10,90.343,1000,1000
2022,2,High-Street,Jeddah,25.42039473684211,0,ZHO,Alfa Romeo,12,11,89.97800000000001,89.819,1000
2022,2,High-Street,Jeddah,25.42039473684211,0,HUL,Aston Martin,17,12,90.543,1000,1000
2022,2,High-Street,Jeddah,25.42039473684211,0,STR,Aston Martin,13,13,90.256,91.009,1000
2022,2,High-Street,Jeddah,25.42039473684211,0,ALB,Williams,16,14,90.492,1000,1000
2022,2,High-Street,Jeddah,25.42039473684211,0,BOT,Alfa Romeo,8,15,89.68299999999999,89.404,89.18299999999999
2022,2,High-Street,Jeddah,25.42039473684211,0,ALO,Alpine,7,16,89.97800000000001,89.295,89.14699999999999
2022,2,High-Street,Jeddah,25.42039473684211,0,RIC,McLaren,14,17,90.009,89.773,1000
2022,2,High-Street,Jeddah,25.42039473684211,0,LAT,Williams,18,18,91.817,1000,1000
2022,2,High-Street,Jeddah,25.42039473684211,0,TSU,AlphaTauri,19,19,1000,1000,1000
2022,2,High-Street,Jeddah,25.42039473684211,0,MSC,Haas F1 Team,,,90.167,89.92,1000
2022,3,High-Street,Melbourne,26.69743589743589,0,LEC,Ferrari,1,1,78.881,78.606,77.868
2022,3,High-Street,Melbourne,26.69743589743589,0,PER,Red Bull Racing,3,2,78.834,78.34,78.24
2022,3,High-Street,Melbourne,26.69743589743589,0,RUS,Mercedes,6,3,79.405,79.076,78.93299999999999
2022,3,High-Street,Melbourne,26.69743589743589,0,HAM,Mercedes,5,4,79.401,79.106,78.825
2022,3,High-Street,Melbourne,26.69743589743589,0,NOR,McLaren,4,5,79.28,79.066,78.703
2022,3,High-Street,Melbourne,26.69743589743589,0,RIC,McLaren,7,6,79.66499999999999,79.13,79.032
2022,3,High-Street,Melbourne,26.69743589743589,0,OCO,Alpine,8,7,79.605,79.136,79.061
2022,3,High-Street,Melbourne,26.69743589743589,0,BOT,Alfa Romeo,12,8,79.251,79.41,1000
