Season,Round,TrackType,Circuit,Weather,Rainfall,Driver,Team,GridPosition,FinishingPosition,Q1,Q2,Q3
2018,1,High-Street,Melbourne,24.077477477477483,0,VET,Ferrari,3,1,83.348,81.944,81.838
2018,1,High-Street,Melbourne,24.077477477477483,0,HAM,Mercedes,1,2,82.824,82.051,81.164
2018,1,High-Street,Melbourne,24.077477477477483,0,RAI,Ferrari,2,3,83.096,82.507,81.828
2018,1,High-Street,Melbourne,24.077477477477483,0,RIC,Red Bull Racing,8,4,83.494,82.89699999999999,82.152
2018,1,High-Street,Melbourne,24.077477477477483,0,ALO,McLaren,10,5,83.59700000000001,83.69200000000001,1000
2018,1,High-Street,Melbourne,24.077477477477483,0,VER,Red Bull Racing,4,6,83.483,82.416,81.879
2018,1,High-Street,Melbourne,24.077477477477483,0,HUL,Renault,7,7,83.782,83.544,83.532
2018,1,High-Street,Melbourne,24.077477477477483,0,BOT,Mercedes,15,8,83.686,82.089,1000
2018,1,High-Street,Melbourne,24.077477477477483,0,VAN,McLaren,11,9,84.07300000000001,83.85300000000001,1000
2018,1,High-Street,Melbourne,24.077477477477483,0,SAI,Renault,9,10,83.529,83.061,83.577
2018,1,High-Street,Melbourne,24.077477477477483,0,PER,Force India,12,11,84.344,84.005,1000
2018,1,High-Street,Melbourne,24.077477477477483,0,OCO,Force India,14,12,84.503,84.786,1000
2018,1,High-Street,Melbourne,24.077477477477483,0,LEC,Sauber,18,13,84.636,1000,1000
2018,1,High-Street,Melbourne,24.077477477477483,0,STR,Williams,13,14,84.464,84.23,1000
2018,1,High-Street,Melbourne,24.077477477477483,0,HAR,Toro Rosso,16,15,84.532,1000,1000
2018,1,High-Street,Melbourne,24.077477477477483,0,GRO,Haas F1 Team,6,16,83.67099999999999,83.468,83.339
2018,1,High-Street,Melbourne,24.077477477477483,0,MAG,Haas F1 Team,5,17,83.90899999999999,83.3,83.187
2018,1,High-Street,Melbourne,24.077477477477483,0,GAS,Toro Rosso,20,18,85.295,1000,1000
