,Season,Round,Circuit,Weather,Rainfall,Driver,Team,Grid_Position,Finishing_Position,Q1,Q2,Q3
1,2018,1,Melbourne,24.077477477477483,0,VET,Ferrari,3,1,83.348,81.944,81.838
2,2018,1,Melbourne,24.077477477477483,0,HAM,Mercedes,1,2,82.824,82.051,81.164
3,2018,1,Melbourne,24.077477477477483,0,RAI,Ferrari,2,3,83.096,82.507,81.828
4,2018,1,Melbourne,24.077477477477483,0,RIC,Red Bull Racing,8,4,83.494,82.89699999999999,82.152
5,2018,1,Melbourne,24.077477477477483,0,ALO,McLaren,10,5,83.59700000000001,83.69200000000001,1000
6,2018,1,Melbourne,24.077477477477483,0,VER,Red Bull Racing,4,6,83.483,82.416,81.879
7,2018,1,Melbourne,24.077477477477483,0,HUL,Renault,7,7,83.782,83.544,83.532
8,2018,1,Melbourne,24.077477477477483,0,BOT,Mercedes,15,8,83.686,82.089,1000
9,2018,1,Melbourne,24.077477477477483,0,VAN,McLaren,11,9,84.07300000000001,83.85300000000001,1000
10,2018,1,Melbourne,24.077477477477483,0,SAI,Renault,9,10,83.529,83.061,83.577
11,2018,1,Melbourne,24.077477477477483,0,PER,Force India,12,11,84.344,84.005,1000
12,2018,1,Melbourne,24.077477477477483,0,OCO,Force India,14,12,84.503,84.786,1000
13,2018,1,Melbourne,24.077477477477483,0,LEC,Sauber,18,13,84.636,1000,1000
14,2018,1,Melbourne,24.077477477477483,0,STR,Williams,13,14,84.464,84.23,1000
15,2018,1,Melbourne,24.077477477477483,0,HAR,Toro Rosso,16,15,84.532,1000,1000
16,2018,1,Melbourne,24.077477477477483,0,GRO,Haas F1 Team,6,16,83.67099999999999,83.468,83.339
17,2018,1,Melbourne,24.077477477477483,0,MAG,Haas F1 Team,5,17,83.90899999999999,83.3,83.187
18,2018,1,Melbourne,24.077477477477483,0,GAS,Toro Rosso,20,18,85.295,1000,1000
19,2018,1,Melbourne,24.077477477477483,0,ERI,Sauber,17,19,84.556,1000,1000
20,2018,1,Melbourne,24.077477477477483,0,SIR,Williams,19,20,84.922,1000,1000
21,2018,2,Sakhir,27.982524271844653,0,VET,Ferrari,1,1,89.06,88.34100000000001,87.958
22,2018,2,Sakhir,27.982524271844653,0,BOT,Mercedes,3,2,89.275,88.794,88.124
23,2018,2,Sakhir,27.982524271844653,0,HAM,Mercedes,9,3,89.396,88.458,88.22
24,2018,2,Sakhir,27.982524271844653,0,GAS,Toro Rosso,5,4,90.121,89.836,89.32900000000001
25,2018,2,Sakhir,27.982524271844653,0,MAG,Haas F1 Team,6,5,89.594,89.623,89.358
26,2018,2,Sakhir,27.982524271844653,0,HUL,Renault,7,6,90.26,89.187,89.57
27,2018,2,Sakhir,27.982524271844653,0,ALO,McLaren,13,7,90.53,90.212,1000
28,2018,2,Sakhir,27.982524271844653,0,VAN,McLaren,14,8,90.479,90.525,1000
29,2018,2,Sakhir,27.982524271844653,0,ERI,Sauber,17,9,91.063,1000,1000
30,2018,2,Sakhir,27.982524271844653,0,OCO,Force India,8,10,90.338,90.009,89.874
31,2018,2,Sakhir,27.982524271844653,0,SAI,Renault,10,11,89.893,89.80199999999999,89.986
32,2018,2,Sakhir,27.982524271844653,0,LEC,Sauber,19,12,91.42,1000,1000
33,2018,2,Sakhir,27.982524271844653,0,GRO,Haas F1 Team,16,13,90.53,1000,1000
34,2018,2,Sakhir,27.982524271844653,0,STR,Williams,20,14,91.503,1000,1000
35,2018,2,Sakhir,27.982524271844653,0,SIR,Williams,18,15,91.414,1000,1000
36,2018,2,Sakhir,27.982524271844653,0,PER,Force India,12,16,90.218,90.156,1000
37,2018,2,Sakhir,27.982524271844653,0,HAR,Toro Rosso,11,17,90.412,90.105,1000
38,2018,2,Sakhir,27.982524271844653,0,RAI,Ferrari,2,18,88.951,88.515,88.101
