Index,Season,Round,RaceName,Circuit,Track_Type,Weather,Driver,Team,Grid_Position,Finishing_Position
0,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,LEC,Ferrari,1,1
1,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,SAI,Ferrari,3,2
2,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,HAM,Mercedes,5,3
3,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,RUS,Mercedes,9,4
4,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,MAG,Haas F1 Team,7,5
5,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,BOT,Alfa Romeo,6,6
6,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,OCO,Alpine,11,7
7,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,TSU,AlphaTauri,16,8
8,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,ALO,Alpine,8,9
9,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,ZHO,Alfa Romeo,15,10
10,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,MSC,Haas F1 Team,12,11
11,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,STR,Aston Martin,19,12
12,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,ALB,Williams,14,13
13,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,RIC,McLaren,18,14
14,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,NOR,McLaren,13,15
15,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,LAT,Williams,20,16
16,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,HUL,Aston Martin,17,17
17,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,PER,Red Bull Racing,4,18
18,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,VER,Red Bull Racing,2,19
19,2022,1,Bahrain Grand Prix,Sakhir,Mid-Circuit,23.617791411042944,GAS,AlphaTauri,10,20
20,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,VER,Red Bull Racing,4,1
21,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,LEC,Ferrari,2,2
22,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,SAI,Ferrari,3,3
23,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,PER,Red Bull Racing,1,4
24,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,RUS,Mercedes,6,5
25,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,OCO,Alpine,5,6
26,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,NOR,McLaren,11,7
27,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,GAS,AlphaTauri,9,8
28,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,MAG,Haas F1 Team,10,9
29,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,HAM,Mercedes,15,10
30,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,ZHO,Alfa Romeo,12,11
31,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,HUL,Aston Martin,17,12
32,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,STR,Aston Martin,13,13
33,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,ALB,Williams,16,14
34,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,BOT,Alfa Romeo,8,15
35,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,ALO,Alpine,7,16
36,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,RIC,McLaren,14,17
37,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,LAT,Williams,18,18
38,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,TSU,AlphaTauri,19,19
39,2022,2,Saudi Arabian Grand Prix,Jeddah,High-Street,25.42039473684211,MSC,Haas F1 Team,,
40,2022,3,Australian Grand Prix,Melbourne,High-Street,26.69743589743589,LEC,Ferrari,1,1
41,2022,3,Australian Grand Prix,Melbourne,High-Street,26.69743589743589,PER,Red Bull Racing,3,2
42,2022,3,Australian Grand Prix,Melbourne,High-Street,26.69743589743589,RUS,Mercedes,6,3
43,2022,3,Australian Grand Prix,Melbourne,High-Street,26.69743589743589,HAM,Mercedes,5,4
44,2022,3,Australian Grand Prix,Melbourne,High-Street,26.69743589743589,NOR,McLaren,4,5
45,2022,3,Australian Grand Prix,Melbourne,High-Street,26.69743589743589,RIC,McLaren,7,6
46,2022,3,Australian Grand Prix,Melbourne,High-Street,26.69743589743589,OCO,Alpine,8,7
